amount,symbol,name,mcap,float_mcap,industry
18839416914.0,688825,长鑫科技,4013307937432,266219663966.0,半导体
2780922569.0,601398,工商银行,2787096930436,2108367502055.0,银行Ⅱ
1368859884.0,601939,建设银行,2765116032022,101404960895.0,银行Ⅱ
2638457353.0,601288,农业银行,2376384799998,2167668191176.0,银行Ⅱ
564227414.0,600941,中国移动,2126214477521,88507361681.0,通信服务
1348517769.0,601857,中国石油,2027872434223,1794096622223.0,炼化及贸易
1570442821.0,601988,中国银行,1978384208538,1294100261154.0,银行Ⅱ
8701494036.47,300750,宁德时代,1725742284787,1589010220087.0,电池
3203715661.0,600519,贵州茅台,1615480452972,1615480452972.0,白酒Ⅱ
1416283396.0,600938,中国海油,1607463043739,101121800000.0,油气开采Ⅱ
9431944409.0,601138,工业富联,1267243733256,1267243733256.0,消费电子
1271067994.0,601628,中国人寿,1091300260050,803996493300.0,保险Ⅱ
4313773127.0,688981,中芯国际,1081518648277,252604736815.0,半导体
1033637331.0,601088,中国神华,1036754959731,788271614249.0,煤炭开采
22780310823.67,300308,中际旭创,1013130567263,961339741341.0,通信设备
3606576460.0,601318,中国平安,1011673958261,595577836187.0,保险Ⅱ
2429800384.0,600036,招商银行,998201488888,816493620500.0,银行Ⅱ
7987376586.0,601899,紫金矿业,919241004483,712203988850.0,工业金属
1619597741.08,002594,比亚迪,834132405222,318990269115.0,乘用车
2658024415.0,600900,长江电力,687556917820,687556917820.0,电力
9532759814.0,688256,寒武纪,659039000384,659039000384.0,半导体
1883865956.57,000333,美的集团,657449819569,593336769859.0,白色家电
895023695.0,600028,中国石化,639695970234,501240594734.0,炼化及贸易
1027567584.0,601328,交通银行,624731954457,184332147753.0,银行Ⅱ
697087052.0,601658,邮储银行,600475267460,362639003025.0,银行Ⅱ
555006376.0,601728,中国电信,581070330739,492948777239.0,通信服务
7643209237.0,688041,海光信息,571717440243,571717440243.0,半导体
14874143370.87,300502,新易盛,570390409424,513110875120.0,通信设备
4375977975.22,002371,北方华创,521044845600,520611520394.0,半导体
655838867.0,601998,中信银行,481887105206,353007573825.0,银行Ⅱ
5533307226.0,603259,药明康德,477222119371,395576442545.0,医疗服务
6333030050.16,002475,立讯精密,442448678828,418847948089.0,消费电子
5013896724.0,688347,华虹宏力,439158216313,103046580000.0,半导体
3761059910.0,600030,中信证券,436385922881,340091068704.0,证券Ⅱ
1109267876.0,688235,百济神州,431454279385,32186708985.0,化学制药
5003965615.0,603993,洛阳钼业,417402991534,340661030854.0,工业金属
