symbol,name,ann_date,period,period_end,holders,holders_prev,holders_chg_pct,avg_hold_value
002687,乔治白,2016-05-04,20160331,2016-03-31,11046,11320,-2.420494699647,461314.02498642
603997,继峰股份,2016-04-30,20160331,2016-03-31,29165,28603,1.964828864105,314801.988685068
603979,金诚信,2016-04-30,20160331,2016-03-31,33103,35331,-6.306076816394,283433.525662327
603969,银龙股份,2016-04-30,20160331,2016-03-31,29783,33397,-10.821331257299,183191.753684988
603861,白云电器,2016-04-30,20160331,2016-03-31,44656,41813,6.799320785402,218493.259584378
603778,国晟科技,2016-04-30,20160331,2016-03-31,11267,17467,-35.495505810958,373977.101269193
603568,伟明环保,2016-04-30,20160331,2016-03-31,21057,19598,7.444637207878,785534.976492378
603566,普莱柯,2016-04-30,20160331,2016-03-31,14754,16236,-9.127864005913,519669.242239393
603399,永杉锂业,2016-04-30,20160331,2016-03-31,20961,22389,-6.378132118451,241991.631784743
603338,浙江鼎力,2016-04-30,20160331,2016-03-31,14563,16000,-8.98125,441650.072100529
603333,福华尚纬,2016-04-30,20160331,2016-03-31,28233,30144,-6.339570063694,162449.760918075
603223,恒通股份,2016-04-30,20160331,2016-03-31,14798,15659,-5.49843540456,249682.389512096
603123,翠微股份,2016-04-30,20160331,2016-03-31,25691,20012,28.37797321607,188921.236842474
603118,共进股份,2016-04-30,20160331,2016-03-31,29834,25259,18.112355991924,348431.346785547
603117,万林物流,2016-04-30,20160331,2016-03-31,31247,35040,-10.824771689498,244878.548340641
603077,和邦生物,2016-04-30,20160331,2016-03-31,118347,129880,-8.879735140129,145255.20900251
603022,新通联,2016-04-30,20160331,2016-03-31,9585,11739,-18.349092767697,433343.766301513
603015,弘讯科技,2016-04-30,20160331,2016-03-31,21685,19301,12.351691622196,243700.299746368
603011,合锻智能,2016-04-30,20160331,2016-03-31,16622,14475,14.832469775475,244383.497774034
601996,丰林集团,2016-04-30,20160331,2016-03-31,34985,27850,25.619389587074,113257.293125625
601969,海南矿业,2016-04-30,20160331,2016-03-31,32328,30627,5.55392300911,705602.18386538
601939,建设银行,2016-04-30,20160331,2016-03-31,421975,421237,0.175198285051,110265.393421648
601933,永辉超市,2016-04-30,20160331,2016-03-31,121561,133926,-9.232710601377,299474.734220679
601928,凤凰传媒,2016-04-30,20160331,2016-03-31,84739,96244,-11.95399193716,348674.034387944
601818,光大银行,2016-04-30,20160331,2016-03-31,317457,331428,-4.215395198957,470264.785860762
601669,中国电建,2016-04-30,20160331,2016-03-31,377877,390889,-3.328822248771,235142.473097437
601668,中国建筑,2016-04-30,20160331,2016-03-31,880003,923704,-4.731061032539,194317.519372093
601601,中国太保,2016-04-30,20160331,2016-03-31,107652,110861,-2.894615780121,1531788.9217107
