date,rz_balance,rz_buy,rq_volume,rq_balance,rzrq_balance
2022-10-24,2874114,3126718,0,0,2874114
2022-10-25,3300445,1058946,17400,542184,3842629
2022-10-26,24344340,33908163,77500,2897725,27242065
2022-10-27,14971591,13258572,70015,2507237,17478828
2022-10-28,13398387,3341496,117216,4159995,17558382
2022-10-31,19257070,11549737,151515,5704540,24961610
2022-11-01,14717605,5977417,157315,5719973,20437578
2022-11-02,16742414,5833834,168815,6154995,22897409
2022-11-03,16040791,2529314,167015,6179555,22220346
2022-11-04,16025060,3587711,175115,6449485,22474545
2022-11-07,19447312,6366396,168715,6289695,25737007
2022-11-08,20047832,3226724,176715,6584401,26632233
2022-11-09,19847258,4997095,167197,6343454,26190712
2022-11-10,19178032,5949272,185997,6863290,26041322
2022-11-11,17382244,5404073,179797,6598550,23980794
2022-11-14,16230851,2974168,197197,7264738,23495589
2022-11-15,13995106,1899185,207397,7526437,21521543
2022-11-16,16088765,3372759,200197,7233118,23321883
2022-11-17,15552928,2003905,204997,7412691,22965619
2022-11-18,18285179,8506510,203597,7321348,25606527
2022-11-21,17923646,1777193,169257,6012009,23935655
2022-11-22,12916667,1905039,214757,7424150,20340817
2022-11-23,13040637,1591302,186097,6416624,19457261
2022-11-24,14901202,2646971,188297,6616756,21517958
2022-11-25,14131843,649642,213779,7343308,21475151
2022-11-28,12139845,826433,208779,7119365,19259210
2022-11-29,13760033,1934478,178679,6071512,19831545
2022-11-30,14978886,2779553,158979,5398926,20377812
2022-12-01,18292557,5762134,180879,6021462,24314019
2022-12-02,17172367,738385,149264,4989895,22162262
2022-12-05,21005632,5144080,121864,4036136,25041768
2022-12-06,28659206,9499177,127138,4148513,32807719
2022-12-07,27197668,4406549,130538,4421322,31618990
2022-12-08,32308050,6613335,124238,4097369,36405419
2022-12-09,54252279,32436629,116238,4057869,58310148
2022-12-12,39825271,12305607,103598,3394906,43220177
2022-12-13,37231775,999643,143498,4673730,41905505
2022-12-14,32261186,1466460,129079,4117620,36378806
2022-12-15,26143487,168144,158879,5036464,31179951
2022-12-16,24922973,688295,156936,4992134,29915107
2022-12-19,23755533,1672989,141682,4370890,28126423
2022-12-20,24246693,990455,140782,4350164,28596857
2022-12-21,25741392,2538263,181582,5656279,31397671
2022-12-22,26162656,901584,168326,5154142,31316798
