symbol,name,publish_date,org,rating_value,last_rating_value,rating_name,eps_this,eps_next,industry
600323,瀚蓝环境,2017-01-27,辉立证券,3.0,,买入,,,环境治理
002606,大连电瓷,2017-01-26,太平洋,2.0,2.0,增持,,,电网设备
300118,东方日升,2017-01-26,太平洋,3.0,3.0,买入,,,光伏设备
600036,招商银行,2017-01-26,中银国际,,,,,,银行Ⅱ
300266,兴源环境,2017-01-26,长城国瑞证券,3.0,,买入,,,环境治理
300323,华灿光电,2017-01-26,西南证券,2.0,,增持,,,光学光电子
300382,斯莱克,2017-01-26,长城国瑞证券,3.0,,买入,,,专用设备
002444,巨星科技,2017-01-26,长城国瑞证券,3.0,,买入,,,通用设备
002472,双环传动,2017-01-26,长城国瑞证券,3.0,,买入,,,汽车零部件
600835,上海机电,2017-01-26,长城国瑞证券,2.0,,增持,,,专用设备
000928,中钢国际,2017-01-26,西南证券,3.0,,买入,,,专业工程
002068,黑猫股份,2017-01-26,太平洋,3.0,,买入,,,橡胶
002493,荣盛石化,2017-01-26,太平洋,3.0,,买入,,,炼化及贸易
300098,高新兴,2017-01-26,民生证券,,,,,,通信设备
603008,喜临门,2017-01-26,民生证券,,,,,,家居用品
300348,长亮科技,2017-01-26,东兴证券,3.0,3.0,买入,,,软件开发
600565,迪马股份,2017-01-26,东兴证券,3.0,3.0,买入,,,房地产
300088,长信科技,2017-01-26,太平洋,2.0,,增持,,,光学光电子
002068,黑猫股份,2017-01-26,国金证券,,,,,,橡胶
002341,新纶科技,2017-01-26,国金证券,,,,,,材料行业
603716,塞力斯,2017-01-26,国金证券,,,,,,医药商业
300401,花园生物,2017-01-26,信达证券,2.0,2.0,增持,,,化学制药
300394,天孚通信,2017-01-25,东吴证券,2.0,,增持,,,通信设备
600166,福田汽车,2017-01-25,民生证券,,,,,,商用车
600346,恒力股份,2017-01-25,民生证券,,,,,,炼化及贸易
300003,乐普医疗,2017-01-25,民生证券,,,,,,医疗器械
002601,佰利联,2017-01-25,民生证券,,,,,,化学原料
300409,道氏技术,2017-01-25,华安证券,3.0,3.0,买入,,,电池
002341,新纶科技,2017-01-25,华安证券,3.0,3.0,买入,,,材料行业
300347,泰格医药,2017-01-25,华安证券,3.0,3.0,买入,,,医疗服务
601169,北京银行,2017-01-25,信达证券,2.0,,增持,,,银行Ⅱ
002637,赞宇科技,2017-01-25,太平洋,2.0,2.0,增持,,,化学制品
000703,恒逸石化,2017-01-25,太平洋,3.0,,买入,,,炼化及贸易
601100,恒立液压,2017-01-25,民生证券,,,,,,工程机械
002538,司尔特,2017-01-25,东兴证券,3.0,,买入,,,农化制品
600643,爱建集团,2017-01-25,东吴证券,3.0,3.0,买入,,,多元金融
600743,华远地产,2017-01-25,东兴证券,3.0,3.0,买入,,,一般零售
000429,粤高速A,2017-01-25,国金证券,,,,,,铁路公路
600409,三友化工,2017-01-25,国金证券,,,,,,化学原料
000528,柳工,2017-01-25,国金证券,,,,,,工程机械
600667,太极实业,2017-01-25,国金证券,,,,,,工程咨询服务Ⅱ
300207,欣旺达,2017-01-25,群益证券,3.0,,买入,,,电池
600325,华发股份,2017-01-25,国金证券,,,,,,房地产开发
600104,上汽集团,2017-01-24,西南证券,,,,,,乘用车
600919,江苏银行,2017-01-24,东吴证券,2.0,2.0,增持,,,银行Ⅱ
600036,招商银行,2017-01-24,东吴证券,2.0,2.0,增持,,,银行Ⅱ
300269,联建光电,2017-01-24,民生证券,,,,,,光学光电子
300567,精测电子,2017-01-24,民生证券,,,,,,通用设备
000062,深圳华强,2017-01-24,民生证券,,,,,,其他电子Ⅱ
601233,桐昆股份,2017-01-24,民生证券,,,,,,炼化及贸易
603818,曲美家居,2017-01-24,民生证券,,,,,,家居用品
603005,晶方科技,2017-01-24,民生证券,,,,,,半导体
300227,光韵达,2017-01-24,民生证券,,,,,,自动化设备
002530,丰东股份,2017-01-24,民生证券,,,,,,通用设备
601555,东吴证券,2017-01-24,民生证券,,,,,,证券Ⅱ
300236,上海新阳,2017-01-24,民生证券,,,,,,电子化学品Ⅱ
300232,洲明科技,2017-01-24,民生证券,,,,,,光学光电子
300410,正业科技,2017-01-24,民生证券,,,,,,电池
600742,一汽富维,2017-01-24,西南证券,3.0,,买入,,,汽车零部件
002709,天赐材料,2017-01-24,华安证券,3.0,,买入,,,电池
300027,华谊兄弟,2017-01-24,群益证券,3.0,,买入,,,影视院线
002123,梦网荣信,2017-01-24,信达证券,2.0,2.0,增持,,,通信服务
300366,ST创意,2017-01-24,国金证券,,,,,,软件开发
603345,安井食品,2017-01-24,东莞证券,,,,,,食品加工
600466,蓝光发展,2017-01-24,西南证券,2.0,,增持,,,房地产
300073,当升科技,2017-01-24,太平洋,2.0,3.0,增持,,,电池
002296,辉煌科技,2017-01-24,信达证券,2.0,2.0,增持,,,通信设备
300422,博世科,2017-01-24,东莞证券,2.0,2.0,增持,,,环境治理
603716,塞力斯,2017-01-24,西南证券,2.0,2.0,增持,,,医药商业
600104,上汽集团,2017-01-24,中银证券,,,,,,乘用车
000750,国海证券,2017-01-24,东吴证券,2.0,2.0,增持,,,证券Ⅱ
300301,长方集团,2017-01-24,东兴证券,2.0,,增持,,,光学光电子
000620,新华联,2017-01-24,东兴证券,3.0,3.0,买入,,,房地产开发
600290,华仪电气,2017-01-24,东兴证券,2.0,,增持,,,输配电气
002139,拓邦股份,2017-01-24,西南证券,3.0,3.0,买入,,,消费电子
002294,信立泰,2017-01-24,西南证券,3.0,,买入,,,化学制药
300407,凯发电气,2017-01-24,西南证券,3.0,3.0,买入,,,电网设备
600297,广汇汽车,2017-01-24,群益证券,,,,,,汽车行业
300090,盛运环保,2017-01-23,联讯证券,3.0,3.0,买入,,,环保工程
300200,高盟新材,2017-01-23,信达证券,2.0,2.0,增持,,,化学制品
300086,康芝药业,2017-01-23,信达证券,2.0,,增持,,,化学制药
300101,振芯科技,2017-01-23,信达证券,2.0,2.0,增持,,,军工电子Ⅱ
300393,中来股份,2017-01-23,信达证券,3.0,3.0,买入,,,光伏设备
600988,赤峰黄金,2017-01-23,信达证券,3.0,3.0,买入,,,贵金属
920090,同辉信息,2017-01-23,灿土研究院,,,,,,计算机设备
300369,绿盟科技,2017-01-23,东吴证券,3.0,3.0,买入,,,软件开发
603588,高能环境,2017-01-23,信达证券,2.0,2.0,增持,,,环境治理
002097,山河智能,2017-01-23,长城国瑞证券,2.0,2.0,增持,,,工程机械
002123,梦网科技,2017-01-23,中金财富,3.0,3.0,买入,,,通信服务
600366,宁波韵升,2017-01-23,东兴证券,3.0,,买入,,,金属新材料
000910,大亚圣象,2017-01-23,西南证券,2.0,2.0,增持,,,家居用品
600056,中国医药,2017-01-23,西南证券,3.0,3.0,买入,,,医药商业
002638,勤上光电,2017-01-23,广证恒生证券研究所,3.0,3.0,买入,,,照明设备Ⅱ
603699,纽威股份,2017-01-23,东吴证券,3.0,3.0,买入,,,通用设备
300393,中来股份,2017-01-23,东吴证券,3.0,,买入,,,光伏设备
300199,翰宇药业,2017-01-23,东兴证券,2.0,2.0,增持,,,化学制药
600077,宋都股份,2017-01-23,东兴证券,3.0,3.0,买入,,,房地产开发
000513,丽珠集团,2017-01-23,东兴证券,3.0,3.0,买入,,,化学制药
600699,均胜电子,2017-01-23,辉立证券,3.0,,买入,,,汽车零部件
600115,中国东航,2017-01-22,中银证券,,3.0,,,,航空机场
603177,德创环保,2017-01-22,上海证券,,,,,,环保工程
000881,大连国际,2017-01-22,中航证券,3.0,,买入,,,综合行业
300450,先导智能,2017-01-22,中航证券,3.0,,买入,,,专用设备
000030,富奥股份,2017-01-22,西南证券,3.0,,买入,,,汽车行业
300393,中来股份,2017-01-22,太平洋,3.0,3.0,买入,,,光伏设备
603308,应流股份,2017-01-22,太平洋,3.0,3.0,买入,,,专用设备
300116,坚瑞沃能,2017-01-22,太平洋,3.0,,买入,,,机械行业
601012,隆基股份,2017-01-20,东吴证券,3.0,3.0,买入,,,材料行业
000967,盈峰环境,2017-01-20,东吴证券,3.0,3.0,买入,,,金属制品
002002,鸿达兴业,2017-01-20,太平洋,3.0,3.0,买入,,,化工行业
300269,联建光电,2017-01-20,民生证券,,,,,,电子元件
600517,置信电气,2017-01-20,民生证券,,,,,,输配电气
000070,特发信息,2017-01-20,民生证券,,,,,,通讯行业
300129,泰胜风能,2017-01-20,民生证券,,,,,,输配电气
300207,欣旺达,2017-01-20,民生证券,,,,,,通讯行业
601689,拓普集团,2017-01-20,民生证券,,,,,,汽车行业
000928,中钢国际,2017-01-20,民生证券,,,,,,工程建设
600021,上海电力,2017-01-20,民生证券,,,,,,电力行业
002108,沧州明珠,2017-01-20,华安证券,3.0,3.0,买入,,,塑胶制品
600660,福耀玻璃,2017-01-20,群益证券,3.0,3.0,买入,,,玻璃陶瓷
600066,宇通客车,2017-01-20,群益证券,3.0,3.0,买入,,,汽车行业
300303,聚飞光电,2017-01-20,群益证券,3.0,,买入,,,电子元件
603588,高能环境,2017-01-20,信达证券,2.0,2.0,增持,,,环境治理
600337,美克家居,2017-01-20,信达证券,2.0,,增持,,,木业家具
600029,南方航空,2017-01-20,中银国际,,,,,,民航机场
002551,尚荣医疗,2017-01-20,广证恒生证券研究所,3.0,,买入,,,医疗行业
600622,嘉宝集团,2017-01-20,东吴证券,3.0,,买入,,,房地产
002146,荣盛发展,2017-01-20,东莞证券,3.0,3.0,买入,,,房地产
603588,高能环境,2017-01-20,国金证券,,,,,,环保工程
002089,新海宜,2017-01-20,东兴证券,2.0,2.0,增持,,,通讯行业
300318,博晖创新,2017-01-20,东兴证券,3.0,3.0,买入,,,医疗行业
600160,巨化股份,2017-01-20,国元证券,3.0,3.0,买入,,,化工行业
000967,盈峰环境,2017-01-20,国金证券,,,,,,金属制品
300435,中泰股份,2017-01-20,国金证券,,,,,,机械行业
300200,高盟新材,2017-01-20,太平洋,3.0,3.0,买入,,,化学制品
601012,隆基股份,2017-01-20,太平洋,3.0,3.0,买入,,,光伏设备
603699,纽威股份,2017-01-20,太平洋,2.0,2.0,增持,,,机械行业
300224,正海磁材,2017-01-20,太平洋,3.0,,买入,,,材料行业
002341,新纶科技,2017-01-20,太平洋,3.0,3.0,买入,,,材料行业
002080,中材科技,2017-01-20,太平洋,2.0,2.0,增持,,,玻璃玻纤
