strategy,family,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,blocked,p_fast,p_slow,p_n1,p_n2,p_n3,p_sig,p_n,p_thresh,p_entry_n,p_exit_n,p_atr_mult,p_atr_n,p_vol_mult,p_k,p_mult,p_hi,p_lo,p_k_hi,p_k_lo,p_ma_n,p_rsi_hi,p_rsi_lo,p_rsi_n,p_dip
"ma_cross(fast=3,slow=10)",ma_cross,2569,10.53,-0.18673181538306216,-0.019440094611148706,0.25506556931299246,0.05049056268168697,0.0722875507418596,-0.6627468752114376,-0.029332608478835436,0.16383147813062315,0.4251968503937008,1180,0.8886726352666408,3222,0.0,0.0,0.0,0.0,,200,3.0,10.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=3,slow=20)",ma_cross,2569,10.53,-0.13340809376124751,-0.013507651623959727,0.26251641370724077,0.07897577798594078,0.11413749976169789,-0.6736871622217373,-0.02005033253032929,0.25626013569156575,0.4251968503937008,2115,0.8936940443752432,1940,0.0,0.0,0.0,0.0,,197,3.0,20.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=3,slow=30)",ma_cross,2569,10.53,0.19927254401573768,0.017408847756684942,0.26198150845458534,0.19672958284222766,0.27466499391976673,-0.6424677151155754,0.027096844474983794,0.6383469828264184,0.44881889763779526,1178,0.8960295834955236,1458,0.0,0.0,0.0,0.0,,192,3.0,30.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=3,slow=60)",ma_cross,2569,10.53,0.7193376811222987,0.05282035607898439,0.25817142328939935,0.3286713957009157,0.4438260995171574,-0.6455623629541651,0.08182068706309421,1.0664709941223587,0.4566929133858268,1178,0.899649669131958,854,0.0,0.0,0.0,0.0,,200,3.0,60.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=3,slow=120)",ma_cross,2569,10.53,1.9521073603883825,0.1082876375711399,0.25391539409011044,0.5323356720177984,0.7056941630429812,-0.5750409372296368,0.18831291923812432,1.7273196291782857,0.5196850393700787,1116,0.8966523939275983,473,0.0,0.0,0.0,0.0,,193,3.0,120.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=3,slow=250)",ma_cross,2569,10.53,2.4929191523711074,0.12613713938133464,0.22950254787842,0.6327005436784188,0.8368832366946384,-0.44551754989074754,0.283124961995923,2.0529829690822714,0.5275590551181102,1138,0.8937718956792526,240,0.0,0.0,0.0,0.0,,160,3.0,250.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=5,slow=10)",ma_cross,2569,10.53,0.03148959374185645,0.0029490528343656397,0.25539512530522934,0.1392944648381128,0.19481630396509422,-0.5199970181547611,0.005671287971670532,0.45198185280116304,0.4094488188976378,1131,0.8891786687427015,3027,0.0,0.0,0.0,0.0,,199,5.0,10.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=5,slow=20)",ma_cross,2569,10.53,0.15773906795516268,0.014008635590115448,0.2640878377167699,0.18431006017368878,0.2639520779959724,-0.6785427610607075,0.020645177274040846,0.5980481893807773,0.4330708661417323,1178,0.893732970027248,1723,0.0,0.0,0.0,0.0,,190,5.0,20.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=5,slow=30)",ma_cross,2569,10.53,0.719889856125018,0.05285246549817635,0.26619474929087134,0.32645705766367183,0.45824283551987144,-0.6308823280981559,0.08377547308624769,1.059285923201093,0.44881889763779526,1146,0.8957571039314909,1309,0.0,0.0,0.0,0.0,,189,5.0,30.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=5,slow=60)",ma_cross,2569,10.53,1.7994774329149408,0.10271362504803605,0.2600567841121809,0.5061781077541916,0.6922613977044306,-0.5722564451982334,0.17948880420639976,1.642443719899544,0.44881889763779526,1121,0.8999221486959907,753,0.0,0.0,0.0,0.0,,196,5.0,60.0,,,,,,,,,,,,,,,,,,,,,,
"ma_cross(fast=5,slow=120)",ma_cross,2569,10.53,2.1299648230872847,0.11446296093673936,0.2556126738532097,0.5521648384312617,0.7362762803116059,-0.55482400558305,0.20630499002373415,1.7916611906716002,0.5275590551181102,1106,0.896691319579603,415,0.0,0.0,0.0,0.0,,178,5.0,120.0,,,,,,,,,,,,,,,,,,,,,,
