symbol,name,entry_date,exit_date,entry_px,exit_px,hold_days,ret_gross,ret_net,mfe,mae,still_open,trend,vol_bucket,idx_ret,excess_ret,year
300146,汤臣倍健,2017-01-16,2017-02-10,297.0,297.72,14,0.00242424242424244,0.00040424242424243976,0.006464646464646506,-0.03959595959595952,False,震荡,低波动,0.02832999442678763,-0.02792575200254519,2017
603077,和邦生物,2017-01-17,2017-01-23,28.9,31.84,4,0.10173010380622838,0.09971010380622838,0.10173010380622838,-0.03321799307958473,False,震荡,低波动,0.011339722699888144,0.08837038110634024,2017
300236,上海新阳,2017-01-17,2017-02-09,52.266,57.002,12,0.09061340068113122,0.08859340068113122,0.11051161366854179,-0.033980025255424096,False,震荡,低波动,0.021022980074315356,0.06757042060681587,2017
002517,恺英网络,2017-01-17,2017-02-10,58.9,61.2,13,0.039049235993208864,0.03702923599320887,0.04278438030560272,-0.0685908319185059,False,震荡,低波动,0.02619379742421124,0.01083543856899763,2017
300409,道氏技术,2017-01-20,2017-01-25,92.495,96.725,3,0.045732201740634526,0.04371220174063453,0.12714200767609052,-0.008757230120547077,False,震荡,低波动,0.006262500409849547,0.037449701330784985,2017
001896,豫能控股,2017-04-18,2017-06-16,10.83,8.86,40,-0.18190212373037862,-0.18392212373037864,0.003693444136657398,-0.24838411819021233,False,震荡,低波动,0.016177940012822356,-0.200100063743201,2017
600396,华电辽能,2017-04-20,2017-06-06,30.117,25.359,30,-0.15798386293455524,-0.16000386293455526,0.004050868280373265,-0.1883653750373544,False,震荡,低波动,0.009050858719359844,-0.1690547216539151,2017
600707,彩虹股份,2017-04-20,2017-05-10,14.278,14.916,13,0.04468412942989208,0.04266412942989209,0.07956296400056018,-0.07543073259560162,False,震荡,低波动,-0.03577876962632354,0.07844289905621563,2017
601818,光大银行,2017-04-20,2017-05-12,4.714,4.734,15,0.004242681374628576,0.002222681374628576,0.02121340687314377,-0.016970725498515082,False,震荡,低波动,-0.022004593318022292,0.024227274692650867,2017
002353,杰瑞股份,2017-04-25,2017-05-19,139.861,151.873,17,0.08588527180557848,0.08386527180557848,0.13384717683986236,-0.09926998948956456,False,震荡,低波动,-0.010787655806356877,0.09465292761193536,2017
300236,上海新阳,2017-04-25,2017-05-10,43.626,48.986,10,0.12286251318021368,0.12084251318021369,0.14450098565075886,-0.01136936689130319,False,震荡,低波动,-0.030011886183256453,0.15085439936347014,2017
002371,北方华创,2017-04-25,2017-05-18,109.789,115.732,16,0.05413110603065885,0.052111106030658855,0.09974587618067376,-0.019182249587845757,False,震荡,低波动,-0.012455790082447571,0.06456689611310643,2017
603077,和邦生物,2017-04-26,2017-05-02,28.78,30.64,3,0.06462821403752605,0.06260821403752606,0.07713690062543432,-0.018763029881862514,False,震荡,低波动,-0.005398847084912783,0.06800706112243884,2017
002461,珠江啤酒,2017-05-08,2017-06-08,11.515,11.615,21,0.008684324793747145,0.0066643247937471445,0.04342162396873639,-0.0746851932262268,False,下跌,低波动,0.06019096048898276,-0.053526635695235615,2017
300253,卫宁健康,2017-05-12,2017-06-16,215.83,219.343,23,0.016276699254042404,0.014256699254042403,0.045850901172218794,-0.09831348746698798,False,下跌,低波动,0.039398826719600155,-0.025142127465557752,2017
002738,中矿资源,2017-05-12,2017-06-19,32.02,31.15,24,-0.027170518425983947,-0.029190518425983948,0.09041224234853207,-0.23610243597751412,False,下跌,低波动,0.0497108153294461,-0.07890133375543004,2017
002074,国轩高科,2017-05-15,2017-06-06,101.934,105.753,14,0.03746541880040022,0.035445418800400225,0.06952537916691193,-0.07132065846528146,False,下跌,低波动,0.027562448701013986,0.007882970099386238,2017
000612,焦作万方,2017-05-17,2017-06-16,78.037,79.207,20,0.014992887989030645,0.012972887989030644,0.055358355651806024,-0.05997155195612347,False,震荡,低波动,0.03190350648246176,-0.01893061849343112,2017
000987,越秀资本,2017-05-24,2017-05-26,39.998,41.548,2,0.03875193759687989,0.0367319375968799,0.04387719385969313,-0.013150657532876586,False,震荡,低波动,0.016430259011672943,0.020301678585206956,2017
300253,卫宁健康,2017-07-18,2017-07-28,179.187,194.611,8,0.08607767304547753,0.08405767304547754,0.12317857880314964,-0.011875861530133425,False,上涨,中波动,0.014918820456045312,0.06913885258943223,2017
600161,天坛生物,2017-07-18,2017-08-18,190.327,196.472,23,0.03228653843122631,0.03026653843122631,0.05210506128925485,-0.02748953117529307,False,上涨,中波动,0.01567689614363088,0.01458964228759543,2017
600919,江苏银行,2017-09-28,2017-11-23,8.588,8.128,35,-0.053563111318118195,-0.05558311131811819,0.013972985561248263,-0.0908244061481136,False,震荡,低波动,0.07321309914350138,-0.12879621046161957,2017
600908,无锡银行,2017-10-16,2017-11-14,9.41,8.85,21,-0.05951115834218923,-0.061531158342189224,0.002125398512220933,-0.11052072263549428,False,上涨,低波动,0.04750284276022443,-0.10903400110241365,2017
600500,中化国际,2017-11-20,2018-01-03,47.18,45.594,31,-0.033615938957185176,-0.03563593895718517,0.020178041543026604,-0.07144976685036042,False,上涨,低波动,-0.00782850647830624,-0.02780743247887893,2017
600550,保变电气,2017-11-20,2018-01-04,43.433,47.856,32,0.10183501024566577,0.09981501024566578,0.1054727971818663,-0.11640918195841865,False,上涨,低波动,-0.0036246660697951683,0.10343967631546094,2017
601179,中国西电,2017-11-20,2018-01-03,5.18,4.91,31,-0.05212355212355202,-0.05414355212355201,0.007722007722007707,-0.0868725868725867,False,上涨,低波动,-0.00782850647830624,-0.04631504564524577,2017
600629,华建集团,2017-11-21,2017-12-11,83.579,80.119,14,-0.041397958817406266,-0.04341795881740626,0.0043312315294512516,-0.07661015326816534,False,上涨,中波动,-0.035137634255636874,-0.008280324561769387,2017
000680,山推股份,2017-11-22,2017-12-13,25.951,25.789,15,-0.006242534006396627,-0.008262534006396628,0.052252321683172065,-0.043851874686909986,False,上涨,中波动,-0.04198156387712082,0.03371902987072419,2017
