fold,is_period,oos_period,strategy,is_sharpe,oos_sharpe,is_trades,oos_return,n_eligible
0,2016-01-04~2020-01-04,2020-01-05~2021-01-04,"trend_pullback(ma_n=250,rsi_hi=70,rsi_lo=30,rsi_n=9)",0.9057230935671152,0.7875922098448785,127,0.15422935878571398,384
0,2016-01-04~2020-01-04,2020-01-05~2021-01-04,"rsi_reversion(hi=50,lo=15,n=9)",0.8521733905654723,3.012601534626878,85,0.18272672946723234,384
0,2016-01-04~2020-01-04,2020-01-05~2021-01-04,"trend_pullback(ma_n=120,rsi_hi=50,rsi_lo=30,rsi_n=5)",0.8161773298414771,0.13303775777411436,520,0.0038970250524630323,384
1,2017-01-04~2021-01-04,2021-01-05~2022-01-05,"rsi_reversion(hi=50,lo=15,n=9)",1.3532255075306323,-0.23801152451082788,109,-0.005710434184126645,390
1,2017-01-04~2021-01-04,2021-01-05~2022-01-05,"ema_cross(fast=3,slow=250)",1.1890277992935538,1.0515774492987258,125,0.3398781507858133,390
1,2017-01-04~2021-01-04,2021-01-05~2022-01-05,"chandelier(atr_n=22,entry_n=10,mult=4.0)",1.1461031695563852,0.2240738456532125,123,0.023356109759132382,390
2,2018-01-05~2022-01-05,2022-01-06~2023-01-06,"rsi_reversion(hi=50,lo=20,n=9)",1.569219919149262,-0.09675807183347067,261,-0.043497382762277326,389
2,2018-01-05~2022-01-05,2022-01-06~2023-01-06,"rsi_reversion(hi=50,lo=15,n=9)",1.4268811086256146,1.3729262582094506,84,0.16630879425874068,389
2,2018-01-05~2022-01-05,2022-01-06~2023-01-06,"dip_buy(dip=0.08,ma_n=10)",1.3280559492295185,0.5038035563999774,556,0.10133298409950853,389
3,2019-01-06~2023-01-06,2023-01-07~2024-01-07,"rsi_reversion(hi=70,lo=25,n=21)",1.6269717178048992,-0.0469603810613082,38,-0.0215427519915532,387
3,2019-01-06~2023-01-06,2023-01-07~2024-01-07,"trend_pullback(ma_n=250,rsi_hi=50,rsi_lo=20,rsi_n=9)",1.5317665151339295,0.9701516042000299,36,0.0210790618273895,387
3,2019-01-06~2023-01-06,2023-01-07~2024-01-07,"rsi_reversion(hi=50,lo=15,n=9)",1.371073069752724,0.9804423958316554,83,0.09645788504304975,387
4,2020-01-07~2024-01-07,2024-01-08~2025-01-07,"trend_pullback(ma_n=250,rsi_hi=50,rsi_lo=20,rsi_n=9)",1.4587558622298524,-0.4144342635837302,44,-0.013165313087006192,386
4,2020-01-07~2024-01-07,2024-01-08~2025-01-07,"dip_buy(dip=0.12,ma_n=10)",1.3510563908856228,0.3842382420972316,218,0.060603440440807343,386
4,2020-01-07~2024-01-07,2024-01-08~2025-01-07,"rsi_reversion(hi=50,lo=15,n=9)",1.2798344636781829,0.6593504867226142,126,0.10774774757044203,386
5,2021-01-07~2025-01-07,2025-01-08~2026-01-08,"trend_pullback(ma_n=250,rsi_hi=50,rsi_lo=20,rsi_n=9)",1.101578717953187,1.8548097049895738,51,0.19452668967057551,386
5,2021-01-07~2025-01-07,2025-01-08~2026-01-08,"dip_buy(dip=0.12,ma_n=10)",0.9754424628554832,2.365775566802103,220,0.2366178301832056,386
5,2021-01-07~2025-01-07,2025-01-08~2026-01-08,"rsi_reversion(hi=50,lo=20,n=14)",0.9498108468509843,2.072321423900999,96,0.16932690453116628,386
6,2022-01-08~2026-01-08,2026-01-09~2026-07-31,"rsi_reversion(hi=50,lo=20,n=14)",1.322200970106236,0.4811157869381296,113,0.01505790045922839,387
6,2022-01-08~2026-01-08,2026-01-09~2026-07-31,"trend_pullback(ma_n=250,rsi_hi=60,rsi_lo=20,rsi_n=9)",1.1726908833693444,-0.3737575494548111,64,-0.008647472552524516,387
6,2022-01-08~2026-01-08,2026-01-09~2026-07-31,"rsi_reversion(hi=50,lo=15,n=9)",1.1142879732889606,0.920666960861134,171,0.04831053093219917,387
