strategy,n_days,years,total_return,cagr,vol,sharpe,sortino,max_dd,calmar,t_stat,pos_month_pct,longest_underwater_days,exposure,n_trades,win_rate,profit_factor,expectancy,avg_hold_days,top5_share,p_k,p_n,p_rebal,family
"margin_momentum(k=5,n=5,rebal=5)",2569,10.53,0.6286896861277509,0.04741817988070607,0.135145046731478,0.4103396031350076,0.5987580975736244,-0.21183237002674982,0.22384765781886018,1.3314675089078536,0.4409448818897638,525,0.3991825613079019,1690,0.0,0.0,0.0,0.0,,5,5,5,margin_momentum
"margin_momentum(k=5,n=10,rebal=5)",2569,10.53,0.09392484014896207,0.008562871473545508,0.13822135845966377,0.13071870944809666,0.1898931827029438,-0.2543906898099617,0.03366031783609006,0.4241552926083096,0.4881889763779528,822,0.40124562086414944,1232,0.0,0.0,0.0,0.0,,5,10,5,margin_momentum
"margin_momentum(k=5,n=20,rebal=5)",2569,10.53,0.15196983016203358,0.013527623005382683,0.1350762847799258,0.16701883046387392,0.2380046269275886,-0.2618248119363257,0.051666696159692174,0.5419417098409366,0.49606299212598426,1178,0.40136239782016353,906,0.0,0.0,0.0,0.0,,5,20,5,margin_momentum
"margin_momentum(k=5,n=60,rebal=5)",2569,10.53,0.295969667993379,0.02492974918196955,0.14397586819170197,0.24307799051190132,0.3351115945505397,-0.3870544766996623,0.06440888991787574,0.7887380209575396,0.47244094488188976,1071,0.40393149085247176,550,0.0,0.0,0.0,0.0,,5,60,5,margin_momentum
"margin_momentum(k=5,n=5,rebal=10)",2569,10.53,0.3785485340453971,0.030960701146194536,0.13318854084522894,0.2954739722887266,0.4283713949537721,-0.20923453896122723,0.14797127328931,0.9587521916595027,0.49606299212598426,579,0.3975476839237057,878,0.0,0.0,0.0,0.0,,5,5,10,margin_momentum
"margin_momentum(k=5,n=10,rebal=10)",2569,10.53,0.41340869831596816,0.033408953738392144,0.13621660893673979,0.30926914274112566,0.4500011982848612,-0.24821464592509368,0.13459702836582138,1.0035146788698137,0.4881889763779528,1043,0.4,877,0.0,0.0,0.0,0.0,,5,10,10,margin_momentum
"margin_momentum(k=5,n=20,rebal=10)",2569,10.53,0.23507673375910443,0.020255539050049176,0.13628130844741482,0.21532787077946403,0.29697892669069753,-0.3446212909766595,0.05877622648515075,0.6986945971452726,0.44881889763779526,1151,0.4029972752043597,645,0.0,0.0,0.0,0.0,,5,20,10,margin_momentum
"margin_momentum(k=5,n=60,rebal=10)",2569,10.53,0.21774387599940215,0.018886912885284657,0.14306956334784368,0.20241037457028882,0.2736640739073183,-0.37161777970472387,0.05082349100813104,0.6567799821104222,0.49606299212598426,1117,0.4045153756325418,394,0.0,0.0,0.0,0.0,,5,60,10,margin_momentum
"margin_momentum(k=5,n=5,rebal=20)",2569,10.53,1.1143984408255334,0.07370700590664492,0.13145692039613383,0.6067256924584981,0.8874392724146647,-0.20686318345719823,0.3563079938866721,1.9686999260032902,0.4645669291338583,506,0.40112884390813547,456,0.0,0.0,0.0,0.0,,5,5,20,margin_momentum
"margin_momentum(k=5,n=10,rebal=20)",2569,10.53,0.37239610689047487,0.03052280519117434,0.13707304192806355,0.2877857309551752,0.4207892306605638,-0.2616618935817704,0.11664979097017748,0.933805431809715,0.5196850393700787,957,0.39898793304787855,454,0.0,0.0,0.0,0.0,,5,10,20,margin_momentum
"margin_momentum(k=5,n=20,rebal=20)",2569,10.53,0.35889555684638674,0.029555649546001872,0.13235963600233572,0.2862955382849152,0.3936232584597157,-0.3718898935973526,0.07947419398818606,0.9289700634774729,0.49606299212598426,1178,0.4057609964966913,459,0.0,0.0,0.0,0.0,,5,20,20,margin_momentum
"margin_momentum(k=5,n=60,rebal=20)",2569,10.53,0.4028078957722474,0.03267028890872936,0.14008086821280982,0.2996083243888895,0.40953694859336354,-0.3766307589104033,0.08674354957955331,0.9721673128169422,0.4881889763779528,1049,0.40552744258466333,282,0.0,0.0,0.0,0.0,,5,60,20,margin_momentum
"margin_momentum(k=10,n=5,rebal=5)",2569,10.53,1.7172779819064026,0.09959673642751898,0.2296399956366636,0.5283369457348377,0.7377186075712139,-0.3828514360766371,0.2601446071305379,1.7143445858675714,0.4645669291338583,820,0.8113273647333592,3132,0.0,0.0,0.0,0.0,,10,5,5,margin_momentum
"margin_momentum(k=10,n=10,rebal=5)",2569,10.53,-0.03030327426818913,-0.002918405825235504,0.22848307964630268,0.10162253278572357,0.13962098111718532,-0.5608092278879786,-0.005203919051450513,0.32974419125856613,0.4881889763779528,1178,0.8121058777734527,2198,0.0,0.0,0.0,0.0,,10,10,5,margin_momentum
"margin_momentum(k=10,n=20,rebal=5)",2569,10.53,-0.15052149597361897,-0.015374692354070296,0.2345563664517682,0.051540169874404726,0.07011894548140213,-0.5525968072837075,-0.027822622482465427,0.16723723732018858,0.47244094488188976,1178,0.8130790190735695,1588,0.0,0.0,0.0,0.0,,10,20,5,margin_momentum
"margin_momentum(k=10,n=60,rebal=5)",2569,10.53,0.5084059108644519,0.03981339918104432,0.24416516230908564,0.2824205622057155,0.37741533891643647,-0.5380122825195226,0.07400091127027314,0.916396564093471,0.47244094488188976,1051,0.8170883612300506,1011,0.0,0.0,0.0,0.0,,10,60,5,margin_momentum
