symbol,date,post_count,click_sum,click_max,comment_sum,n_posts_page
000547,2026-08-04,77,23851,10615,120,80
001267,2026-08-04,80,13783,2436,174,80
002222,2026-08-04,79,7683,1431,99,80
002487,2026-08-04,80,18095,6521,153,80
002837,2026-08-04,79,6122,887,148,80
002865,2026-08-04,77,59980,38437,266,80
300257,2026-08-04,71,8024,1522,106,80
300395,2026-08-04,80,12685,2039,138,80
300476,2026-08-04,76,376356,310292,1577,81
300672,2026-08-04,75,97865,91460,577,80
300751,2026-08-04,72,154365,52485,536,80
300763,2026-08-04,76,34695,9088,179,80
301005,2026-08-04,78,27001,14139,151,80
301338,2026-08-04,80,8838,1555,61,80
600498,2026-08-04,76,154379,121316,667,80
601231,2026-08-04,77,20072,12515,151,80
603306,2026-08-04,77,146290,137003,482,80
603308,2026-08-04,80,235161,216176,673,80
603920,2026-08-04,77,58457,11232,633,80
688195,2026-08-04,77,15695,8228,110,80
688205,2026-08-04,80,34528,25136,151,80
688390,2026-08-04,71,275656,127890,683,80
688503,2026-08-04,69,14233,2978,452,80
688516,2026-08-04,74,49657,38875,141,80
688709,2026-08-04,62,67052,50038,223,80
688800,2026-08-04,77,38991,24939,133,80
000547,2026-08-05,77,27895,11944,146,80
001267,2026-08-05,80,11810,4878,127,80
002222,2026-08-05,80,13309,2204,151,81
002487,2026-08-05,80,32630,8039,190,80
002837,2026-08-05,79,71352,54410,237,80
002865,2026-08-05,77,61309,38465,268,80
300257,2026-08-05,61,8422,1592,107,80
300395,2026-08-05,80,72802,58418,239,80
300763,2026-08-05,73,39959,9203,176,80
301005,2026-08-05,77,38276,14454,179,80
301338,2026-08-05,80,9798,1573,51,80
600498,2026-08-05,78,252271,127745,692,80
603308,2026-08-05,80,237881,216995,671,80
603920,2026-08-05,78,66961,12137,629,80
688195,2026-08-05,74,17001,8303,119,80
688390,2026-08-05,66,280389,128638,682,80
688503,2026-08-05,68,14606,2980,458,80
688516,2026-08-05,70,49829,38884,141,80
688709,2026-08-05,61,67936,50128,232,80
688800,2026-08-05,77,38924,24952,137,80
000547,2026-08-12,78,24871,15370,186,80
002149,2026-08-12,80,11912,2932,193,80
002487,2026-08-12,80,9292,1027,94,80
002506,2026-08-12,77,38227,16955,178,80
002518,2026-08-12,79,17842,6161,94,80
002865,2026-08-12,80,33120,25021,173,80
300102,2026-08-12,79,45636,37358,183,80
300257,2026-08-12,29,10423,1784,100,80
300342,2026-08-12,78,44319,25021,238,80
300432,2026-08-12,79,143124,130183,545,80
300456,2026-08-12,80,13712,2058,225,80
300763,2026-08-12,78,5561,530,114,80
301005,2026-08-12,80,27005,6885,227,80
301338,2026-08-12,76,83116,34451,150,80
301550,2026-08-12,80,104626,41132,282,80
600343,2026-08-12,78,22289,15370,198,80
600498,2026-08-12,79,177376,130283,606,80
600879,2026-08-12,80,7657,1580,114,80
603026,2026-08-12,79,21140,8141,114,80
603093,2026-08-12,77,12777,2137,114,80
603698,2026-08-12,80,5240,660,116,80
603920,2026-08-12,75,77258,28097,632,80
688390,2026-08-12,75,110884,94182,294,80
688516,2026-08-12,77,19020,6562,64,80
688568,2026-08-12,78,7855,1174,70,80
688709,2026-08-12,58,13018,5601,82,80
000547,2026-08-15,77,10357,1863,149,80
002402,2026-08-15,80,8238,988,119,80
002487,2026-08-15,76,14986,2246,191,80
002518,2026-08-15,79,20283,7062,102,80
002865,2026-08-15,79,36745,29334,163,80
300100,2026-08-15,79,24882,6858,125,80
300102,2026-08-15,78,6263,795,133,80
300257,2026-08-15,26,11119,1816,87,80
300342,2026-08-15,79,33326,5546,207,80
300432,2026-08-15,79,12530,7605,89,80
300456,2026-08-15,79,11082,1696,212,80
300724,2026-08-15,74,35948,20289,524,80
300763,2026-08-15,80,5203,980,53,80
300953,2026-08-15,80,41372,7016,222,80
600577,2026-08-15,79,28200,20646,145,80
603698,2026-08-15,79,7731,1855,114,80
688006,2026-08-15,48,112074,98439,260,80
688516,2026-08-15,52,20368,6897,67,80
688568,2026-08-15,78,9496,784,98,80
688709,2026-08-15,49,12465,5616,95,80
